model,accuracy,precision_weighted,recall_weighted,f1_weighted,train_time_sec,inference_time_sec
RandomForest (Bal),1.0,1.0,1.0,1.0,4.980143308639526,0.006513357162475586
LightGBM (Bal),0.9285714285714286,0.9523809523809524,0.9285714285714286,0.9285714285714286,1.6208899021148682,0.002511739730834961
XGBoost (Bal),0.9285714285714286,0.9387755102040816,0.9285714285714286,0.9241758241758242,0.1484677791595459,0.001505136489868164
MLPClassifier (FCNN-Bal),0.7142857142857143,0.7976190476190476,0.7142857142857143,0.710204081632653,0.016546964645385742,0.0
GaussianNB (Bal),0.5714285714285714,0.7428571428571429,0.5714285714285714,0.626530612244898,0.0009980201721191406,0.0
