frame,body_angle,hip_shoulder_vertical_diff,hip_ankle_vertical_diff,shoulder_elbow_angle,wrist_shoulder_hip_angle,shoulder_wrist_vertical_diff,elbow_angle
0,86.76163496126455,-0.06395560503005981,-0.12033826112747192,120.46049612695279,122.57832782920245,-0.3721487522125244,175.84747634200818
1,88.37604048298535,-0.05929449200630188,-0.12454107403755188,118.56155783800104,120.81534919798993,-0.37808358669281006,175.52146527495228
2,89.71563324930891,-0.055614590644836426,-0.12686005234718323,116.595587278071,119.70681710380865,-0.3821879029273987,173.7639847633196
3,90.58666743802176,-0.053323596715927124,-0.12781751155853271,114.58364716327836,119.05994393052083,-0.38504183292388916,170.95680918585572
4,92.1568493395021,-0.049474090337753296,-0.1292358636856079,112.55020705971076,117.48754542787479,-0.39127421379089355,169.93708084863104
5,93.22731517561117,-0.0474114716053009,-0.1292096972465515,111.90360137175833,116.53769917613236,-0.39478960633277893,170.57983544802454
6,93.08383476614542,-0.04761582612991333,-0.12914487719535828,112.3102080760401,116.61541759002347,-0.3961273431777954,171.25711607891128
7,93.02804970779658,-0.047944575548172,-0.1286599040031433,112.59707554528163,116.58554818210983,-0.3974874019622803,171.7987379232859
8,93.13706503177201,-0.048246830701828,-0.12688937783241272,113.03687872563214,116.71517561366751,-0.3966197669506073,172.3736033311529
9,93.93996191726099,-0.047766149044036865,-0.12626391649246216,112.94917451916643,116.31527702722663,-0.39720290899276733,173.00460111148513
10,94.68027066972888,-0.04714500904083252,-0.12561318278312683,112.83847115077522,115.99319891314396,-0.39753997325897217,173.42886130879998
11,95.02636668435517,-0.04633215069770813,-0.12527653574943542,112.60672068410238,115.64450354514092,-0.3991767466068268,173.65098276109765
12,95.28301962923234,-0.04576241970062256,-0.12525707483291626,112.39780907303758,115.3775686214816,-0.40027448534965515,173.75777079490317
13,93.27886521181664,-0.049968838691711426,-0.12444302439689636,114.5044423490146,117.54722517499074,-0.395534873008728,173.6979326186306
14,91.85794887302171,-0.053794682025909424,-0.12266787886619568,116.11875417920295,119.38736733318794,-0.38982996344566345,173.33778684951608
15,95.27412103641676,-0.04839104413986206,-0.12208050489425659,112.69613495809693,116.52289373104449,-0.393846720457077,172.11376321313182
16,93.59671543705754,-0.05303657054901123,-0.12004241347312927,113.88844897461632,118.82189203015218,-0.38684749603271484,170.091030167522
17,92.53958823174277,-0.05702361464500427,-0.11788812279701233,114.46461774480605,120.90518812574169,-0.3815644681453705,167.2187573336134
18,92.22202035455841,-0.05982181429862976,-0.11385190486907959,114.26380606670062,122.42651832014438,-0.37432101368904114,164.11164507416768
19,94.93393977761113,-0.05971422791481018,-0.10479763150215149,111.322735625873,121.44940133436498,-0.3637057840824127,160.5743624095074
20,102.85841851126257,-0.05160364508628845,-0.09958425164222717,99.76886788365047,113.03403439317465,-0.3589644134044647,154.2090591052931
21,103.9605788131326,-0.05913224816322327,-0.08497625589370728,100.96287112176225,116.76696055574303,-0.33498090505599976,150.53690588805682
22,109.91316844628092,-0.05708882212638855,-0.07458609342575073,97.2248054980634,114.44817491375733,-0.3272879719734192,147.92022958142795
23,113.64940204656692,-0.05722236633300781,-0.06684216856956482,94.79413519759396,113.54837233349537,-0.318125456571579,144.60265375785718
24,114.42740897104079,-0.06320905685424805,-0.06014108657836914,94.37901338160805,115.65016936145201,-0.3038668930530548,140.01372453031902
25,117.7475959185987,-0.06422290205955505,-0.05233466625213623,92.3778314600498,115.6624232707569,-0.2931368350982666,135.76470258860294
26,120.99651036910925,-0.06635120511054993,-0.044716596603393555,88.90247911314556,115.50589671759826,-0.28010106086730957,129.62095558008176
27,123.02357791879821,-0.06705766916275024,-0.04125124216079712,86.14725731864736,114.63475102199203,-0.27350181341171265,126.34935397170622
28,124.35503671233519,-0.0705241858959198,-0.036773890256881714,84.4897775551096,114.4815762609926,-0.26363426446914673,123.16785468407247
29,124.52181142588178,-0.07805275917053223,-0.03210189938545227,82.55388028312602,115.30056548103529,-0.25080299377441406,118.69225017938305
30,125.18330108052163,-0.083584725856781,-0.02809804677963257,80.02303673379703,115.37384329374643,-0.2397668957710266,114.84696988655446
31,126.95960693138467,-0.08391287922859192,-0.025175780057907104,77.38016365960537,113.96524260759249,-0.23515868186950684,112.80025474040141
32,125.60152601662888,-0.09290570020675659,-0.020892083644866943,77.00030010030875,117.05715164452414,-0.22066885232925415,108.97172635539312
33,125.3640736310905,-0.0985148549079895,-0.018245220184326172,75.30789051237088,117.76372203633483,-0.21286100149154663,106.12448327607066
34,129.91823673841708,-0.09943342208862305,-0.0130482017993927,68.64239770731258,113.57574524711488,-0.20578533411026,101.09435320983079
35,129.47711089300046,-0.10104066133499146,-0.01432141661643982,64.78671930882942,111.70834954877296,-0.19990485906600952,97.79362791445436
36,130.76847653970142,-0.09999653697013855,-0.013131201267242432,62.927605997020535,110.51233189601776,-0.19839191436767578,96.5974492794216
37,132.26792785718146,-0.0982002317905426,-0.009704291820526123,63.26484411787119,110.98905320036046,-0.19833439588546753,96.4556596222746
38,134.9511723664385,-0.09964126348495483,-0.0028589367866516113,61.411423885554434,110.72671563522904,-0.19121688604354858,93.50863488731721
39,138.0629686746153,-0.10180363059043884,0.003405839204788208,58.35875126425799,109.33093085188742,-0.18343585729599,90.29569824240383
40,141.72465495051134,-0.10105323791503906,0.010366648435592651,56.45558725208676,108.23067300095826,-0.17690718173980713,88.27050864417157
41,143.42590714295244,-0.10150659084320068,0.013400137424468994,54.447018495978234,107.09375443660461,-0.1719496250152588,86.56079131510086
