frame,body_angle,hip_shoulder_vertical_diff,hip_ankle_vertical_diff,shoulder_elbow_angle,wrist_shoulder_hip_angle,shoulder_wrist_vertical_diff,elbow_angle
0,154.29955689893637,-0.0005079209804534912,-0.08049547672271729,87.74706860187837,91.1044724846206,-0.2471652328968048,173.91643423666036
1,158.2309744997847,0.005625247955322266,-0.07155880331993103,85.07640092083632,88.46424977513703,-0.24387100338935852,173.9802025186091
2,162.02876328576247,0.00971570611000061,-0.062190085649490356,83.30679308691478,86.72357485560423,-0.23647594451904297,174.08274834949717
3,161.76764527974674,0.007524013519287109,-0.05973386764526367,83.89471986305078,87.22234676607293,-0.23052248358726501,174.39088393038773
4,161.94196159891396,0.0024181604385375977,-0.05376008152961731,83.51575500801559,87.78994957707916,-0.21853148937225342,173.16073030500425
5,164.83129360691785,0.0037502944469451904,-0.04590943455696106,81.46496075703132,86.14428769358543,-0.21185314655303955,172.78261215336457
6,168.72069338371594,0.005258619785308838,-0.03634089231491089,78.99414980690325,85.12729369393482,-0.2038290798664093,170.89673185655582
7,169.80827772441313,0.0021390020847320557,-0.03004869818687439,77.2800568475255,85.81114774686516,-0.19371265172958374,167.94467768982503
8,171.01036028577406,-0.0006073713302612305,-0.024415642023086548,71.95756044217882,86.43311097072615,-0.18135541677474976,161.48425074212753
9,171.1563547262314,-0.004101663827896118,-0.020480751991271973,63.44036291952074,87.12506014504942,-0.17050287127494812,151.37274115191033
10,172.75076103308425,-0.00768086314201355,-0.013082504272460938,39.520082592629194,87.02257586930932,-0.15859255194664001,126.29002951622547
11,174.18241117199605,-0.01293763518333435,-0.0038862526416778564,0.3518169249140376,86.59202318920529,-0.14452922344207764,84.98177574356777
12,176.02161377347832,-0.015083789825439453,0.0038806796073913574,16.577862874636157,85.15132765446504,-0.13502788543701172,66.40877717491549
13,176.27449337993787,-0.01796180009841919,0.007568657398223877,26.67326364673457,86.14431700319312,-0.1298343539237976,54.63302574668251
14,178.17595631136143,-0.01704639196395874,0.012119054794311523,23.770332897330945,84.92263320572414,-0.12228953838348389,56.12944427655063
15,177.67616414110034,-0.02262932062149048,0.015933990478515625,15.439743646929895,85.65139871466482,-0.11300671100616455,61.11573747485601
16,178.0942456295455,-0.026412904262542725,0.02030843496322632,11.636618250238103,86.5650533679131,-0.10904806852340698,63.04530121087509
17,179.59233443796137,-0.026082634925842285,0.023721039295196533,16.96171868671655,87.22833929147106,-0.10721004009246826,55.83175350124636
18,178.95427290987007,-0.029760360717773438,0.025391221046447754,25.162100277277016,88.65188675849276,-0.10395407676696777,46.834500975979786
19,179.82333737073148,-0.02970254421234131,0.027889549732208252,31.93098765303493,89.48049198619378,-0.09975135326385498,40.57021104198753
20,179.46231625724243,-0.030048072338104248,0.030569851398468018,34.587406274370814,87.90675752815656,-0.09759759902954102,38.76507312623472
21,177.88894786546032,-0.0299149751663208,0.03492379188537598,38.34314761128781,90.38124668009596,-0.10962969064712524,36.13081932251905
22,176.29879614902524,-0.028230011463165283,0.037851035594940186,15.944129645662972,90.42439550378401,-0.11529743671417236,56.70625762702244
23,176.62330210628664,-0.028544366359710693,0.037064194679260254,20.241499428087913,89.78264509397616,-0.1107703447341919,52.85971695410342
24,177.24019059324957,-0.0300368070602417,0.03671532869338989,30.580930381394225,89.05129264336483,-0.10907524824142456,43.50684883562482
25,176.48099473436352,-0.03158527612686157,0.04056733846664429,29.455366257875298,87.99625890270516,-0.1056550145149231,44.855074782551526
26,173.11521057337868,-0.03342032432556152,0.051675498485565186,30.220349610013606,85.52867048929647,-0.10147744417190552,45.06870210968126
27,171.84329795619757,-0.03149491548538208,0.0530816912651062,31.27538188086222,85.39073716912009,-0.10167700052261353,44.204293513530594
28,168.4895940994173,-0.03002375364303589,0.0617733895778656,33.052050459398195,83.88786759481553,-0.09915292263031006,43.415626109782316
29,168.13561248563894,-0.031204938888549805,0.06355729699134827,36.37667216451264,83.26080457602137,-0.09515368938446045,40.0820654365221
30,168.7402923312977,-0.03248178958892822,0.06293246150016785,37.17751705498383,81.36688709167555,-0.08946061134338379,39.70969793292091
31,168.5728538372423,-0.03265547752380371,0.06335243582725525,38.84802230558852,80.68439472545072,-0.08797848224639893,38.66838798511034
32,170.1152184389116,-0.03127330541610718,0.05691254138946533,39.08300675165152,79.35367606320398,-0.08378052711486816,38.8673192294042
33,169.1759973350318,-0.031380414962768555,0.05774742364883423,40.15676574580343,78.5974986874051,-0.08201092481613159,38.32856779784632
34,171.0480927406401,-0.03118234872817993,0.05202823877334595,38.25394207611119,78.47788151324846,-0.08235520124435425,39.41966492308164
35,170.672810495487,-0.030872225761413574,0.05288201570510864,39.091239322173344,82.79587594436737,-0.09561604261398315,38.390217802349724
36,170.36729910082886,-0.029389917850494385,0.05352872610092163,37.979098088247724,88.05403147042239,-0.10212892293930054,37.691217209468874
37,170.0412433679691,-0.02753162384033203,0.052188366651535034,28.732612779794724,89.16346845576464,-0.1110612154006958,46.98077707093447
38,173.01969401805266,-0.026421785354614258,0.0423942506313324,23.10092760255475,88.26821006997983,-0.11266803741455078,52.9933333403085
39,175.2072879998428,-0.02139955759048462,0.031615227460861206,8.187339052987568,87.5018536584837,-0.13180553913116455,86.49108180315493
40,179.0554064679347,-0.021569550037384033,0.016095876693725586,27.261835505331476,86.07280416001436,-0.144067645072937,108.04017906525435
41,171.65004164304338,-0.022895455360412598,-0.0022727251052856445,42.218122618330426,86.48535129875376,-0.15848273038864136,124.18406517632651
