label,source_file,frame,avg_knee_angle_mean,avg_knee_angle_std,avg_knee_angle_min,avg_knee_angle_max,avg_knee_angle_range,avg_hip_angle_mean,avg_hip_angle_std,avg_hip_angle_min,avg_hip_angle_max,avg_hip_angle_range,knee_distance_mean,knee_distance_std,knee_distance_min,knee_distance_max,knee_distance_range,hip_shoulder_distance_mean,hip_shoulder_distance_std,hip_shoulder_distance_min,hip_shoulder_distance_max,hip_shoulder_distance_range
squat_correcto,squat_correct_1_1_diag.csv,35,122.72397649399218,19.186634650793643,95.35308840898193,152.54499343906872,57.19190503008679,130.3552208027359,17.38316806154192,105.2830403216065,154.38713805972907,49.10409773812256,0.07967518866062161,0.0036289293682693915,0.0718066394329071,0.0848755836486816,0.013068944215774494,0.046833993991215996,0.00547775117044288,0.0347351729869842,0.0524200201034545,0.017684847116470302
squat_correcto,squat_correct_1_2_diag.csv,33,119.88909236445177,18.411797500337073,94.94085547918516,152.74264042507414,57.80178494588898,132.22520243145416,15.374950241084633,110.62797947854031,156.49915030298615,45.87117082444584,0.08394483327865597,0.006101553348378751,0.0731726884841919,0.0908098518848419,0.01763716340065001,0.04405736823876696,0.0053577533569685865,0.0298492312431335,0.048943817615509,0.0190945863723755
squat_correcto,squat_correct_1_3_diag.csv,32,121.15292237633412,20.25552329021381,94.75796501567685,157.69514463936065,62.937179623683804,129.68609388382134,18.546302651423733,103.35144569587325,158.4918652334856,55.14041953761236,0.08234854042530057,0.004986306405215215,0.0745485126972198,0.0897258818149566,0.015177369117736803,0.045296497146288514,0.005574492987695445,0.0325317978858947,0.0511286258697509,0.0185968279838562
squat_correcto,squat_correct_2_1_diag.csv,51,94.37500223312568,18.893939533021275,71.8751283731745,129.7423427595565,57.86721438638199,95.22940512056518,18.595304468329132,73.30899048793793,129.0049326496065,55.69594216166857,0.052098165949185656,0.0033738348933793462,0.0455273389816284,0.0581555664539337,0.012628227472305305,0.07171813944975532,0.004109230473064142,0.0628621280193328,0.0765919685363769,0.013729840517044095
squat_correcto,squat_correct_2_2_diag.csv,47,90.5386703412556,20.616725443335348,64.41002225617311,129.46528508124413,65.05526282507103,91.32156177133403,21.01318267160692,65.2343216236304,131.80924902485086,66.57492740122046,0.05157586236794786,0.002889108569640051,0.0483483076095581,0.0572586953639984,0.0089103877544403,0.06922864218552904,0.002513484278017652,0.0615805089473724,0.0714308321475982,0.009850323200225795
squat_correcto,squat_correct_2_3_diag.csv,43,94.11936935402089,18.88032660211317,70.37276666278206,128.14451866770108,57.77175200491902,97.23574900122921,19.53147096234751,72.6199735596126,132.71471139268183,60.09473783306923,0.05089523295561468,0.0027010031947307164,0.0471846461296081,0.0586181581020355,0.011433511972427403,0.06987612346808111,0.004182044702085132,0.0610051751136779,0.075320690870285,0.014315515756607104
squat_correcto,squat_correct_3_1_diag.csv,80,96.98584884401309,15.11443532793142,83.79866153624555,131.75561919255716,47.956957656311616,107.82265554375563,15.190818384107946,94.10278958866405,141.93382745995626,47.83103787129221,0.08828725516796108,0.003665458800221513,0.0787125527858734,0.0939164757728576,0.015203922986984197,0.04233612914880114,0.001257215714481641,0.0386486947536468,0.0434647798538208,0.004816085100173999
squat_correcto,squat_correct_3_2_diag.csv,56,96.88717272429366,15.587276683830362,81.73831769752775,133.69613015743244,51.95781245990469,110.79399309031109,14.02766588360068,96.2655849915104,143.92496212871026,47.65937713719987,0.09573874870936074,0.005600413570445131,0.0832566320896148,0.1025678515434265,0.0193112194538117,0.04404233594735459,0.0016673720180220993,0.0397254824638366,0.0458076894283294,0.006082206964492798
squat_correcto,squat_correct_4_1_diag.csv,57,124.62190466818156,12.02704061903388,112.42238872122527,150.6246055411395,38.20221681991421,127.75471857108552,12.663972644146495,114.91615045781654,155.03710387380067,40.12095341598413,0.0781714856624603,0.002635068821014344,0.0707599520683288,0.0811091959476471,0.010349243879318293,0.046221523483594214,0.0024043600592536384,0.0396130084991455,0.0480412244796752,0.008428215980529702
squat_correcto,squat_correct_4_2_diag.csv,55,116.77856022104669,15.842101618216748,99.6061256530153,149.7114836035616,50.10535795054629,118.0278068306752,15.23987377758047,101.2782288601547,151.3006980939121,50.022469233757406,0.07886008322238917,0.0014435051756358462,0.0750799477100372,0.081354796886444,0.006274849176406791,0.049293593565622934,0.0018944373818244363,0.0432284772396087,0.0515089333057403,0.008280456066131599
squat_correcto,squat_correct_4_3_diag.csv,59,118.4784029069021,15.734731458956109,102.98305932130279,150.65348403188906,47.670424710586275,121.15027253918272,16.079799260262075,105.56328436626461,154.96534586724042,49.402061500975805,0.07976328531901039,0.0015712162441960875,0.0735169947147369,0.0810112953186035,0.007494300603866605,0.0468911935885747,0.002170777367804335,0.0409205853939056,0.0494292378425598,0.008508652448654203
squat_correcto,squat_correct_5_1_diag.csv,48,91.52540281112073,12.716415552007264,79.2140917957775,124.24224786877784,45.02815607300033,108.51795616098828,10.75040656847085,97.33873866158605,135.63150113721872,38.29276247563267,0.06781828006108599,0.0035203117116996696,0.0590262413024902,0.0720734000205993,0.013047158718109096,0.04402964115142818,0.0034186187667029715,0.0378248691558837,0.0478585362434387,0.010033667087555001
squat_correcto,squat_correct_5_2_diag.csv,42,96.04530494747253,13.055931381362695,82.7659638558699,127.96446419214469,45.19850033627479,113.22691418618452,11.02278859196999,101.9051707743345,139.94405846349525,38.03888768916076,0.06729405721028642,0.004718937308305044,0.0568061470985412,0.0730358958244323,0.016229748725891106,0.04008548657099402,0.003085153325090352,0.0345819890499115,0.0433034300804138,0.008721441030502299
