body_angle_mean,body_angle_std,body_angle_min,body_angle_max,body_angle_range,hip_shoulder_vertical_diff_mean,hip_shoulder_vertical_diff_std,hip_shoulder_vertical_diff_min,hip_shoulder_vertical_diff_max,hip_shoulder_vertical_diff_range,hip_ankle_vertical_diff_mean,hip_ankle_vertical_diff_std,hip_ankle_vertical_diff_min,hip_ankle_vertical_diff_max,hip_ankle_vertical_diff_range,shoulder_elbow_angle_mean,shoulder_elbow_angle_std,shoulder_elbow_angle_min,shoulder_elbow_angle_max,shoulder_elbow_angle_range,wrist_shoulder_hip_angle_mean,wrist_shoulder_hip_angle_std,wrist_shoulder_hip_angle_min,wrist_shoulder_hip_angle_max,wrist_shoulder_hip_angle_range,shoulder_wrist_vertical_diff_mean,shoulder_wrist_vertical_diff_std,shoulder_wrist_vertical_diff_min,shoulder_wrist_vertical_diff_max,shoulder_wrist_vertical_diff_range,class,source_file
157.24747205316302,7.241475084681366,139.45363162136798,164.07719212893423,24.623560507566253,0.0444562397897243,0.04716899643387876,0.0006826519966125,0.1597245335578918,0.1590418815612793,0.0624980010092258,0.017545247644928208,0.0223523676395416,0.0808923840522766,0.058540016412735,41.01935406025801,18.70665389026634,0.2422867717161408,65.78909183281701,65.54680506110087,48.70536083758625,13.428374284426337,22.99882915084965,68.04814589245387,45.04931674160422,-0.10556560456752773,0.07760767761892882,-0.2920323014259338,-0.0328301191329956,0.2592021822929382,pushup_cadera_caida,IMG_0418_datos_rep_1.csv
155.40266784017552,8.565495334864668,142.22369456922843,165.3129395728166,23.08924500358816,0.06511283218860624,0.068756990558595,-0.0091500282287597,0.1974413990974426,0.2065914273262023,0.05200049579143521,0.02884609128924507,-0.0120777785778045,0.0828427076339721,0.0949204862117766,40.5741735818717,17.64128562908257,2.6380452188688714,67.4083633574457,64.77031813857683,47.03677174018321,6.713084976573026,36.0385013632352,66.87739874544337,30.838897382208174,-0.1500295847654342,0.11251207188068524,-0.3724348843097687,-0.055633544921875,0.3168013393878937,pushup_cadera_caida,IMG_0418_datos_rep_2.csv
150.40775964775952,17.039073570637573,122.01778191667022,168.84945211866167,46.83167020199146,0.07429380416870116,0.09023514725887304,-0.0190448760986328,0.2376473546028137,0.2566922307014465,0.06820550411939616,0.01045916406613999,0.0315964519977569,0.0808517634868621,0.0492553114891052,36.14810325927005,18.011008468329898,0.3432066822966709,66.58350827102157,66.2403015887249,41.321800722326046,8.180003114982581,19.980053274387608,52.426960292678615,32.44690701829101,-0.1442392006516456,0.10974118580013499,-0.363695740699768,-0.0283659696578979,0.3353297710418701,pushup_cadera_caida,IMG_0418_datos_rep_3.csv
168.89003974671792,12.69788708456547,126.828068511629,179.50960523420434,52.681536722575345,-0.09580688178539273,0.05320915704689328,-0.1440010666847229,0.0341342687606811,0.178135335445404,0.1268039189279079,0.019511711601605364,0.0908240377902984,0.1472944319248199,0.056470394134521484,27.76390915001185,8.31074400071795,12.14776084539146,41.66136596241284,29.513605117021378,89.81960559998167,8.24379099022442,64.90503613977009,102.90397834724662,37.99894220747653,-0.1535416260361671,0.0680530882590937,-0.2896785140037536,-0.0808573961257934,0.2088211178779602,pushup_cadera_caida,IMG_0419_datos_rep_1.csv
163.65553345055508,18.428613750411014,111.99058045821808,179.74821621117792,67.75763575295984,-0.08210187703371045,0.07173897555832126,-0.174059510231018,0.0704004168510437,0.2444599270820617,0.13375386297702785,0.02086828551354057,0.0878811478614807,0.1651315987110138,0.0772504508495331,26.193825847005407,7.483434712366028,12.52581747640263,39.0865863190241,26.56076884262147,84.02600130562266,10.823846582263196,52.82883552476624,95.8766557393689,43.04782021460266,-0.1665703028440475,0.08000067085457946,-0.3391342461109161,-0.0707266926765441,0.26840755343437195,pushup_cadera_caida,IMG_0419_datos_rep_2.csv
165.55800759597156,16.228619550226536,125.272559680661,179.7911585959262,54.51859891526519,-0.08809862434864042,0.06880967009397038,-0.1639273166656494,0.0678532123565673,0.23178052902221669,0.12767835482954976,0.01688441295677794,0.0852911472320556,0.1502361893653869,0.06494504213333131,19.728354131461618,6.235422643063288,10.07759853808415,39.74173619936119,29.664137661277042,84.94300942940257,8.90889827548928,57.76019409118492,96.94515512194852,39.184961030763596,-0.15963655859231946,0.08420319186625436,-0.359784185886383,-0.0725322961807251,0.2872518897056579,pushup_cadera_caida,IMG_0419_datos_rep_3.csv
140.4791752540844,3.8092029152908906,128.73070330488886,145.6342357216951,16.90353241680623,0.06662748828530307,0.025946051431525827,0.0378798246383667,0.1203073859214782,0.0824275612831115,0.09985065832734104,0.014205845421805674,0.0626583397388458,0.1161077320575714,0.0534493923187256,41.24329889048206,18.176975694450807,7.472391292800039,71.93741775606799,64.46502646326795,43.78458840153969,7.345411353592752,31.895834427688847,54.24181491958979,22.345980491900946,-0.11802929565310474,0.04881363449871454,-0.2333845496177673,-0.0652682781219482,0.1681162714958191,pushup_cadera_caida,IMG_0420_datos_rep_1.csv
137.973889355866,5.040931657884751,126.81234185127371,143.86955345472066,17.057211603446945,0.07057300955057141,0.030358117356330986,0.0373234748840332,0.1409264206886291,0.10360294580459589,0.10392773225903507,0.010745594165266478,0.0712724030017852,0.1134204268455505,0.0421480238437653,46.20366628795828,15.383945923647756,5.304316712236081,66.06011931540615,60.755802603170075,46.706636266379505,5.355754507182091,37.99772348688311,58.278714366029696,20.280990879146586,-0.11276205182075497,0.048448566366958185,-0.2298911213874817,-0.0644276738166809,0.16546344757080078,pushup_cadera_caida,IMG_0420_datos_rep_2.csv
139.8507599606931,5.326717744342117,125.98437279274005,146.04989344190108,20.06552064916103,0.06374097615480419,0.03512360600988787,0.0319441556930542,0.1623691320419311,0.1304249763488769,0.10507309809327121,0.013777169968233784,0.0638933181762695,0.1181247234344482,0.0542314052581787,44.56647036071736,16.89758354504867,2.012278556913524,67.94117552590097,65.92889696898744,44.82229293564771,10.205347413126107,30.70103811066359,66.63168030925023,35.93064219858664,-0.11152576357126232,0.0514559384436037,-0.2507917881011963,-0.0628597140312194,0.1879320740699769,pushup_cadera_caida,IMG_0420_datos_rep_3.csv
137.5497692604152,14.92878198632671,104.22063047085857,153.06506964383527,48.844439172976706,0.027880936115980137,0.05746184525333878,-0.0316463708877563,0.165950208902359,0.1975965797901153,0.13569149374961847,0.006952715495630931,0.11658376455307,0.1435030400753021,0.026919275522232097,8.21829215693001,2.6426548350774737,0.1462365746115234,10.955948090713877,10.809711516102354,51.22248474282817,5.918434918520888,35.97556239546829,57.19115461199245,21.215592216524165,-0.19445206150412556,0.06395119424586893,-0.3493621051311493,-0.1301842927932739,0.2191778123378754,pushup_cadera_caida,IMG_0421_datos_rep_1.csv
