class,video_segment,body_angle_mean,body_angle_std,body_angle_min,body_angle_max,body_angle_range,hip_shoulder_vertical_diff_mean,hip_shoulder_vertical_diff_std,hip_shoulder_vertical_diff_min,hip_shoulder_vertical_diff_max,hip_shoulder_vertical_diff_range,hip_ankle_vertical_diff_mean,hip_ankle_vertical_diff_std,hip_ankle_vertical_diff_min,hip_ankle_vertical_diff_max,hip_ankle_vertical_diff_range,shoulder_elbow_angle_mean,shoulder_elbow_angle_std,shoulder_elbow_angle_min,shoulder_elbow_angle_max,shoulder_elbow_angle_range,wrist_shoulder_hip_angle_mean,wrist_shoulder_hip_angle_std,wrist_shoulder_hip_angle_min,wrist_shoulder_hip_angle_max,wrist_shoulder_hip_angle_range
plank_correcto,IMG_0349_datos_seg_2,130.69713491193517,0.9570409064065901,129.4105320766403,132.56935007336148,3.158817996721183,-0.09338946789503093,0.0016782929106286077,-0.0956102013587951,-0.0899856686592102,0.0056245326995848915,-0.007139806946118625,0.0011959888859161035,-0.0087736845016479,-0.0041498839855194,0.004623800516128501,125.59724502134357,1.2092847039877574,122.89707143932876,127.0735167634489,4.176445324120138,151.41275727723092,1.416662035943387,148.5014518300772,153.29321831777858,4.791766487701381
plank_correcto,IMG_0349_datos_seg_3,130.78179969860383,0.9606725084569036,129.4105320766403,132.56935007336148,3.158817996721183,-0.09334699561198549,0.0016848052742071539,-0.0956102013587951,-0.0899856686592102,0.0056245326995848915,-0.00701321562131241,0.0012193690221600846,-0.0087250769138336,-0.0041498839855194,0.004575192928314201,125.53712413871745,1.2215196652526583,122.89707143932876,127.0735167634489,4.176445324120138,151.36630874185795,1.4238330977659837,148.5014518300772,153.29321831777858,4.791766487701381
plank_correcto,IMG_0351_datos_seg_1,165.53421494732487,1.4226868852240768,161.42714050222762,167.31549079290065,5.888350290673031,-0.04953883091608679,0.0027348519560013132,-0.0519296526908874,-0.0434104800224304,0.008519172668457003,0.00331232051054633,0.0030906155772167606,-0.0040262937545776,0.0078873038291931,0.0119135975837707,102.81662067590102,0.7576899304682254,101.2199658107715,103.96384107110902,2.743875260337518,112.77693311490643,0.7966116100799647,111.03015214661536,113.7030556859254,2.6729035393100418
plank_correcto,IMG_0351_datos_seg_2,165.5404965897046,1.4275820745556307,161.42714050222762,167.31549079290065,5.888350290673031,-0.04962931374708807,0.002650687316167185,-0.0519296526908874,-0.0434104800224304,0.008519172668457003,0.003370463848113977,0.003100071908740544,-0.0040262937545776,0.0078873038291931,0.0119135975837707,102.83685452501558,0.737757299984478,101.2199658107715,103.96384107110902,2.743875260337518,112.79580462302094,0.7713073101387258,111.03015214661536,113.7030556859254,2.6729035393100418
plank_correcto,IMG_0351_datos_seg_3,165.54298402747918,1.4296670915603433,161.42714050222762,167.31549079290065,5.888350290673031,-0.049729314446449235,0.0025424735147567988,-0.0519296526908874,-0.0434104800224304,0.008519172668457003,0.0034266054630279165,0.0031089748798820635,-0.0040262937545776,0.0078873038291931,0.0119135975837707,102.86056283740935,0.7116078763056871,101.2199658107715,103.96384107110902,2.743875260337518,112.81670040150016,0.7411951335156542,111.03015214661536,113.7030556859254,2.6729035393100418
plank_pelvis_levantada,IMG_0221_datos_seg_1,128.16121039967584,0.511247954329872,126.62692850015824,129.30059014966275,2.67366164950451,-0.05749722421169277,0.001384692153195967,-0.0619832277297973,-0.0550230741500854,0.0069601535797119,-0.14593861003716782,0.0008965186586265397,-0.148417055606842,-0.1432887315750122,0.005128324031829806,115.33979648819539,0.4997754048515485,114.5479533131072,116.5900193397026,2.0420660265953927,138.67938089854866,0.681184346551896,137.2363442333619,140.58770915800386,3.351364924641956
plank_pelvis_levantada,IMG_0221_datos_seg_2,128.21308446836932,0.511371534123385,126.62692850015824,129.74456728841255,3.117638788254311,-0.057368349035580905,0.0013183452711211512,-0.0619438886642456,-0.0542507171630859,0.007693171501159696,-0.14585657815138492,0.0009547621190942072,-0.148417055606842,-0.1427903771400451,0.005626678466796903,115.29801410173306,0.5113271267074374,113.92799170781352,116.5900193397026,2.6620276318890745,138.61356383134589,0.6844461330784057,136.6386851258363,140.5625152779978,3.923830152161486
plank_pelvis_levantada,IMG_0221_datos_seg_3,128.26894875491323,0.5181962009256055,126.7465366483551,129.97878569279402,3.232249044438916,-0.057232839862505554,0.001256473376469917,-0.0612677335739135,-0.0538133382797241,0.007454395294189398,-0.14576498270034785,0.0010062807099764347,-0.148417055606842,-0.1425206065177917,0.005896449089050321,115.25041325968236,0.5218428900018809,113.73396881666102,116.35476195525057,2.6207931385895478,138.5450185328011,0.6918544244967401,136.44979736531118,140.2128941904801,3.7630968251689296
plank_pelvis_levantada,IMG_0222_datos_seg_1,83.95245808488984,7.194453193546407,64.18737068075477,93.90033889819888,29.712968217444114,-0.11793692211310064,0.00290033960110628,-0.1238070428371429,-0.1123069524765014,0.011500090360641507,-0.1623417834440867,0.011852773871611494,-0.1967427134513855,-0.1411759555339813,0.0555667579174042,135.56896055834702,0.8723875633502521,133.95653714737557,137.66865724139237,3.7121200940167967,144.22085677976108,0.8737483832104166,142.04587911778154,145.63720390985188,3.5913247920703384
plank_pelvis_levantada,IMG_0222_datos_seg_2,83.99276704729095,7.2259971429564605,64.18737068075477,93.90033889819888,29.712968217444114,-0.11788786550362901,0.002824012188159204,-0.1238070428371429,-0.1123069524765014,0.011500090360641507,-0.1622169256210327,0.011971196688367195,-0.1967427134513855,-0.1411759555339813,0.0555667579174042,135.5997912118387,0.9172198222274346,133.95653714737557,137.7887840880991,3.832246940723536,144.23134266057707,0.8877011596086982,142.04587911778154,145.69305873916278,3.647179621381241
plank_pelvis_levantada,IMG_0222_datos_seg_3,83.80644043966883,7.23309810867157,64.18737068075477,93.90033889819888,29.712968217444114,-0.11782866964737569,0.002733765578017963,-0.1238070428371429,-0.1123069524765014,0.011500090360641507,-0.16245556126038233,0.011957501799318494,-0.1967427134513855,-0.1411759555339813,0.0555667579174042,135.6376834554628,0.9680962141346957,133.95653714737557,138.0000791764801,4.043542029104543,144.24743315928717,0.9080701699781893,142.04587911778154,145.83979507998532,3.7939159622037835
