frame,body_angle,hip_shoulder_vertical_diff,hip_ankle_vertical_diff,shoulder_elbow_angle,wrist_shoulder_hip_angle,shoulder_wrist_vertical_diff,elbow_angle
0,127.62149181453596,0.14779657125473022,0.017564594745635986,33.92553658513298,38.45949269368506,-0.45640599727630615,170.15643617804375
1,123.06580147293806,0.1605345904827118,0.02737066149711609,32.87381789436135,37.036882257497055,-0.4595271944999695,170.8718231599546
2,120.56731037543001,0.16934242844581604,0.03290781378746033,32.660615358496926,36.6377168968161,-0.4628620743751526,171.24710209090918
3,118.8041869750282,0.17574763298034668,0.03592371940612793,32.263275478247564,36.05667923810483,-0.4667028486728668,171.5932466695653
4,116.38687620875154,0.1811811327934265,0.040613144636154175,31.754191074267016,35.402075719558276,-0.4677508473396301,171.91264460773013
5,115.55188092765651,0.1846553385257721,0.04123076796531677,31.2856298978337,34.831782102594126,-0.4720146656036377,172.11243143737065
6,114.25743689932644,0.18685778975486755,0.04412713646888733,31.033969412016106,34.51750493868046,-0.47352147102355957,172.26726146594478
7,114.72508280802819,0.18649756908416748,0.04319050908088684,31.2724671748791,34.75010220102989,-0.4744189381599426,172.29466982531014
8,112.78733130997759,0.19457033276557922,0.0469508171081543,30.79583644803887,34.22348572261848,-0.47837889194488525,172.35158868583287
9,112.19516931481705,0.19764715433120728,0.047220855951309204,30.27559793218087,33.66422906157419,-0.4802517294883728,172.408751938409
10,112.14705500627065,0.19811159372329712,0.046982139348983765,30.058971612480605,33.454810612157004,-0.48021695017814636,172.39718869918477
11,112.02178177752563,0.19829654693603516,0.04722169041633606,29.947149296588943,33.34567325882062,-0.480404794216156,172.39820733707137
12,112.20580173790802,0.19832941889762878,0.046811074018478394,29.820410711758182,33.27387175375145,-0.48011037707328796,172.28082017029604
13,112.43682140897023,0.19798007607460022,0.0466960072517395,29.553949903490544,33.32571913339683,-0.47978150844573975,171.60857239379243
14,112.01567754916105,0.19861924648284912,0.04787340760231018,28.750223634146458,33.21912586240531,-0.4787813723087311,170.12721156602993
15,112.02281225463717,0.1957501471042633,0.049040645360946655,27.71123786223693,33.58051666223945,-0.4747002422809601,167.14544244099974
16,111.41068258182841,0.1970767378807068,0.05106574296951294,26.421980372943715,33.43681071790643,-0.4728935956954956,164.6696379456223
17,110.62244073282626,0.19609788060188293,0.05407032370567322,24.53476721389177,33.47897792845481,-0.4683634340763092,160.69444377606163
18,109.38238164341574,0.18710735440254211,0.06170877814292908,22.809979118103037,34.58350331668636,-0.45226147770881653,155.38903753211292
19,106.33403333677511,0.18676447868347168,0.07146379351615906,20.705770090562638,33.72110820895889,-0.4419185519218445,153.22414029644875
20,102.25923574903189,0.18988388776779175,0.08548411726951599,18.518706068215764,32.916366233319394,-0.4287201166152954,150.64262954765346
21,99.88265195620785,0.19109350442886353,0.09384658932685852,16.356459731217555,32.34484327585797,-0.4173893928527832,147.820518951656
22,100.25764065153493,0.18628552556037903,0.09418186545372009,14.144758445291453,32.15248899852223,-0.40699997544288635,144.36103589619768
23,99.86852400173687,0.18183580040931702,0.09655490517616272,13.468876380802403,32.463448835894084,-0.3944035470485687,143.25348425160422
24,99.66436221019796,0.18245768547058105,0.09689989686012268,12.291819668478185,32.216009264637044,-0.3894961476325989,141.58687986786174
25,97.84431908399192,0.18750658631324768,0.10394823551177979,10.459773839737041,31.54650302415726,-0.3857172429561615,139.09423321203388
26,97.61550070601575,0.18853318691253662,0.10675778985023499,9.733443458221005,31.45579025919509,-0.3827652335166931,137.61006799189695
27,98.2323439019704,0.1855679154396057,0.10642707347869873,9.423421372273,31.76290871038205,-0.37753355503082275,136.76457921557545
28,97.59765615874863,0.18439865112304688,0.11117339134216309,7.895510194771462,31.62249155573756,-0.3704338073730469,134.6387274670313
29,97.93726220395588,0.1777344048023224,0.11534851789474487,6.958323248957979,32.50187779386912,-0.3584355413913727,131.9453335095403
30,99.1033385345653,0.16964051127433777,0.11676797270774841,6.188454273809216,33.63913581950381,-0.3444477617740631,128.9044387874037
31,101.42905372742364,0.15720918774604797,0.12020730972290039,4.996904763835236,35.59450702481242,-0.32943400740623474,124.36594038377282
32,103.38612156101564,0.1462906301021576,0.12506717443466187,3.8726627981749604,37.297233370105296,-0.31644633412361145,120.59814699947225
33,105.5773783564919,0.13856932520866394,0.1266871988773346,1.6592200081352542,38.31919591190776,-0.3058842122554779,116.45254940652478
34,109.74151056065885,0.12768056988716125,0.12712803483009338,0.1295807992793433,39.84317843108456,-0.29338929057121277,111.25458714061025
35,112.6825800512088,0.11940446496009827,0.12767338752746582,1.8718506754857813,40.478987984188684,-0.2852204740047455,107.00785942327761
36,115.50038885728353,0.1079736053943634,0.12818682193756104,3.19464297879374,42.22264974763257,-0.27339276671409607,102.69208109948516
37,121.66747396913252,0.08572763204574585,0.12782439589500427,5.613935634017533,45.231078766555235,-0.2506256103515625,94.44609440678431
38,125.6548115114599,0.07088130712509155,0.12849882245063782,6.757130998639239,47.10787774166724,-0.23517906665802002,89.35200727086749
39,129.85294023115935,0.0567510724067688,0.12889531254768372,8.104851623397026,48.3477405525309,-0.22000020742416382,84.23410834754799
40,133.20102621879792,0.044753849506378174,0.12978893518447876,9.236297438033551,50.09603800200998,-0.2076612114906311,80.00799582018783
41,136.2473238525021,0.03535151481628418,0.129789799451828,8.730597350085036,51.246194787370676,-0.19813144207000732,77.54567267473868
42,139.07219287667706,0.023174941539764404,0.13363850116729736,9.311493560532519,52.88489142042457,-0.1849927306175232,73.44914276784738
43,141.57413856947522,0.01369088888168335,0.13776886463165283,9.85250008627103,52.98135292708352,-0.17320626974105835,70.589336328938
44,143.11694830081976,0.007323741912841797,0.14046594500541687,10.487845458838976,53.32686691860172,-0.16548192501068115,68.21949733219449
45,143.49876590062325,0.005584895610809326,0.14127036929130554,10.508593655854892,53.28811654844326,-0.1639004945755005,67.78340240447753
46,144.6739287144183,0.001595914363861084,0.14350304007530212,10.955948090713877,53.03323442207956,-0.15909284353256226,67.14941969021073
47,143.87617837280533,0.003909587860107422,0.14330199360847473,10.671131908452187,52.946253808176245,-0.16207730770111084,68.45034046401443
48,146.41347115146885,-0.004837691783905029,0.14284339547157288,10.710648106087968,53.467565600448914,-0.15374672412872314,66.92545388743017
49,146.4290898738781,-0.005065262317657471,0.14333757758140564,10.853362815227017,53.68747381267959,-0.15464532375335693,67.45254571032908
50,146.45676698145886,-0.004836320877075195,0.1419501006603241,10.2914859259327,53.87968767375981,-0.15712624788284302,68.45489877367638
51,147.8553987821431,-0.010613679885864258,0.14176714420318604,10.581241001099384,54.72291991298073,-0.15118402242660522,66.44364137491166
52,149.43723568947715,-0.0162850022315979,0.14279580116271973,10.788113217014772,54.94560055491781,-0.14411580562591553,64.62736511394743
53,150.43622797714036,-0.019943296909332275,0.1420803666114807,10.547022283925541,55.58735577531305,-0.1409739851951599,63.48552017973206
54,151.48186021318404,-0.02358466386795044,0.14189937710762024,10.719585700086439,56.03732612592074,-0.13749665021896362,62.09381133473435
55,150.38669470145126,-0.020817041397094727,0.14111077785491943,10.314355419001094,56.05187542221516,-0.14133673906326294,63.033504293601055
56,151.09332814795724,-0.02368927001953125,0.1410263180732727,10.085052490946067,56.76003281914291,-0.13961178064346313,62.25185886026875
57,152.5244144108212,-0.02850443124771118,0.14055749773979187,9.763441842767964,57.07391915512495,-0.1342407464981079,61.053703771434535
58,152.26545184738455,-0.028138279914855957,0.1406792402267456,9.94244168657843,56.85978070591939,-0.13371026515960693,61.43614671729169
59,153.06506964383527,-0.03164637088775635,0.14088088274002075,9.020331648901106,57.024898214490435,-0.13018429279327393,61.19376977935886
60,152.74954880650208,-0.030757248401641846,0.14035624265670776,8.86490603131977,57.19115461199245,-0.13195490837097168,61.531439400153644
61,152.14034128701402,-0.02885967493057251,0.1405898630619049,8.492203433835984,57.17164941719602,-0.13452351093292236,62.21836457707652
62,149.28955899771773,-0.017517149448394775,0.13869372010231018,7.481909814362698,56.27852144067512,-0.14788150787353516,66.52052416715698
63,146.26978889624797,-0.006009519100189209,0.13700351119041443,6.8814919854410475,55.20585669064732,-0.16159576177597046,70.50601102520582
