frame,body_angle,hip_shoulder_vertical_diff,hip_ankle_vertical_diff,head_position_ratio,shoulder_elbow_angle,wrist_shoulder_hip_angle
35,163.17214330361318,-0.015089452266693115,-0.03450220823287964,0.08476012945175171,97.70866868146408,108.14641410733199
36,162.77362140638803,-0.015632212162017822,-0.035117924213409424,0.08503472805023193,97.83904425973259,108.25691489371854
37,162.39310155636647,-0.016776561737060547,-0.0345076322555542,0.0851401686668396,98.14856928430419,108.62984094225462
38,162.43328642097902,-0.017205476760864258,-0.03353464603424072,0.0851714015007019,98.17782086243147,108.76098010234995
39,162.39568388766037,-0.017276406288146973,-0.03315812349319458,0.0851629376411438,98.16499903028426,108.87455677107721
40,162.3437093152054,-0.017428278923034668,-0.033026278018951416,0.08512413501739502,98.19200745272025,108.97550831064913
41,162.3654352343105,-0.01756894588470459,-0.033069610595703125,0.08498811721801758,98.26373401284769,109.2221981617626
42,162.3452905499675,-0.017763733863830566,-0.03312009572982788,0.08481162786483765,98.43755459699122,109.41350115936083
43,162.13841197662455,-0.018326520919799805,-0.033364295959472656,0.08479845523834229,99.06175186944148,109.6658408889036
44,161.74959506695288,-0.018985748291015625,-0.033964693546295166,0.0847553014755249,99.61527217109028,110.02573199439598
45,161.59197780233558,-0.019623875617980957,-0.03397512435913086,0.08419865369796753,99.97057912845594,110.39677655636251
46,161.45351719160024,-0.02002537250518799,-0.034104108810424805,0.08403342962265015,100.03836518331525,110.56021417930972
47,161.29186760546614,-0.020183920860290527,-0.034543514251708984,0.08408999443054199,99.90656293790676,110.56675388601974
48,161.0962375528332,-0.02046447992324829,-0.034917354583740234,0.0839308500289917,99.88448557601652,110.69912124508596
49,161.06665145401078,-0.020391881465911865,-0.03511589765548706,0.08388561010360718,99.79192491277513,110.73045120842878
50,160.85634476148545,-0.02035766839981079,-0.035751402378082275,0.08404195308685303,99.77700306249386,110.73714947423073
51,160.7100418757538,-0.020103156566619873,-0.03641456365585327,0.08437371253967285,99.73144670575425,110.66582551545508
52,160.563842509936,-0.019781410694122314,-0.037168800830841064,0.0847783088684082,99.80199923427836,110.58274398079996
53,160.037204918882,-0.01905578374862671,-0.03934293985366821,0.08553707599639893,99.68966396857212,110.31812311900012
54,159.79368051484911,-0.01862281560897827,-0.04042094945907593,0.08605319261550903,99.61135068012061,110.16456477394951
55,159.553230078838,-0.018280506134033203,-0.04142576456069946,0.08641618490219116,99.54578733191994,110.0448795807387
56,159.52572751470825,-0.01784271001815796,-0.04189342260360718,0.08680850267410278,99.42234867701131,109.78514942437579
57,159.6276674738034,-0.017402708530426025,-0.04191625118255615,0.08730942010879517,99.37590443440354,109.51901060353515
58,159.42606361777575,-0.017422080039978027,-0.042452454566955566,0.08785039186477661,99.12741548630362,109.37174703985127
59,159.3313403752663,-0.0173189640045166,-0.04277801513671875,0.08826637268066406,98.9800740054273,109.21026698210073
60,159.3555594858218,-0.01715672016143799,-0.04289507865905762,0.08846801519393921,98.83143232577657,109.0864958815186
61,159.35038865061634,-0.01713705062866211,-0.04304736852645874,0.08853095769882202,98.77196344560912,109.04859705636196
62,159.48246836400818,-0.01718008518218994,-0.04328024387359619,0.08857226371765137,98.73880342628291,109.0709538932451
63,159.58542076701758,-0.017368614673614502,-0.04361921548843384,0.08869969844818115,98.75033636141677,109.11176261875343
64,159.84485867604832,-0.016839325428009033,-0.04402899742126465,0.08965533971786499,98.49444706898942,108.7928576146862
65,159.88689127067335,-0.016683995723724365,-0.04431414604187012,0.09009057283401489,98.39680790932834,108.64913144513918
66,159.86759388520596,-0.01659846305847168,-0.04444587230682373,0.09031897783279419,98.36571410601874,108.61280495177473
67,159.89796258264064,-0.016523897647857666,-0.04451221227645874,0.09051120281219482,98.27307464145775,108.50572416893885
68,159.93764229372837,-0.016454339027404785,-0.04443007707595825,0.09073638916015625,98.17416672745304,108.36340742381438
69,160.189127898783,-0.01647883653640747,-0.04360926151275635,0.09113949537277222,98.11886072947857,108.30775079921796
70,160.4001615551365,-0.01621711254119873,-0.043236494064331055,0.09182679653167725,98.00253476476087,108.19801021205384
71,160.52243781273705,-0.01622551679611206,-0.04280132055282593,0.09210062026977539,98.06839469279646,108.25532990242135
72,160.1921070861783,-0.01627713441848755,-0.043044984340667725,0.09238117933273315,98.19518865306463,108.33170304765221
73,159.4219579653496,-0.016312479972839355,-0.043074965476989746,0.09244626760482788,98.37576815215016,108.45039945088473
74,159.00317752108558,-0.01630425453186035,-0.043323814868927,0.0924566388130188,98.52051385052602,108.57228962807793
75,158.82737870735735,-0.016209840774536133,-0.04360908269882202,0.09249615669250488,98.59229726312623,108.61356023686736
76,158.80321867622376,-0.016043007373809814,-0.04372668266296387,0.09253954887390137,98.62810058251227,108.61336091419244
77,159.04197679992544,-0.01555401086807251,-0.04333609342575073,0.09251117706298828,98.55744257138241,108.550180750598
78,159.05047634675975,-0.01564812660217285,-0.04313850402832031,0.09213227033615112,98.67560793825345,108.7340724276064
79,159.02318192871323,-0.015571117401123047,-0.04314601421356201,0.09220606088638306,98.70063837666135,108.7773198007151
80,159.07063369926732,-0.015444159507751465,-0.0431094765663147,0.09236997365951538,98.69232022512534,108.75620642593492
81,159.22236379327788,-0.01536339521408081,-0.0428159236907959,0.09246212244033813,98.6791925649091,108.7377569383197
82,159.29903024449655,-0.015208601951599121,-0.04283517599105835,0.09277397394180298,98.62581409675721,108.68722205712206
83,159.3535943677216,-0.015048861503601074,-0.042838871479034424,0.09293770790100098,98.57216265784132,108.6397576169795
84,159.3870683305278,-0.014993071556091309,-0.04276615381240845,0.09294229745864868,98.53283086734547,108.60319812725888
85,159.47596972357886,-0.014783084392547607,-0.042666614055633545,0.09292572736740112,98.46343598004279,108.55147284409844
