frame,body_angle,hip_shoulder_vertical_diff,hip_ankle_vertical_diff,head_position_ratio,shoulder_elbow_angle,wrist_shoulder_hip_angle
0,170.43193735397884,0.00816655158996582,0.01843041181564331,0.04009813070297241,85.03997027293084,99.58729658979209
1,170.33989516467804,0.008083522319793701,0.018252968788146973,0.03970307111740112,84.59366894922842,98.47184218042655
2,170.57324921443507,0.007859468460083008,0.017427563667297363,0.03943842649459839,84.43486270629025,97.54559070319253
3,170.50829475693754,0.006891012191772461,0.018173694610595703,0.040273845195770264,84.65037598357634,97.92689252010818
4,169.31181024516587,0.006653726100921631,0.021473288536071777,0.040379464626312256,84.67272394001795,98.06330371803243
5,168.32789734021438,0.006366908550262451,0.024099230766296387,0.040273070335388184,84.35509310429151,97.97031188059553
6,168.44261499400406,0.0058362483978271484,0.02326655387878418,0.03966802358627319,84.69422571271566,98.44685195799839
7,168.56119515460682,0.005867123603820801,0.023094892501831055,0.039781391620635986,84.69851655062381,98.55323647273532
8,167.95220784095437,0.00593411922454834,0.024525165557861328,0.0400848388671875,84.48373875264672,98.6116121940893
9,168.5371736355244,0.005748569965362549,0.023608088493347168,0.04262375831604004,84.26790153138683,99.01423471652043
10,169.18773881049518,0.0059397220611572266,0.02185964584350586,0.0458109974861145,84.00947370183628,98.84415270680036
11,169.41593232761815,0.005659043788909912,0.021558284759521484,0.04576468467712402,84.0069820916059,98.93368028152379
12,170.03629393309598,0.005614280700683594,0.020035207271575928,0.045607030391693115,83.95155275465007,98.83936151935751
13,163.25353413760098,0.02599310874938965,0.01921755075454712,0.06602722406387329,77.40758674055509,90.61935040489111
14,161.78202323757256,0.030901193618774414,0.018682897090911865,0.07157844305038452,75.80063080003411,88.54492273671495
15,161.32662926632747,0.03282320499420166,0.018201768398284912,0.07435446977615356,75.11884528508614,87.63157958640542
16,161.07230469030566,0.03321331739425659,0.018584907054901123,0.07511794567108154,74.88563402610386,87.37333004324175
17,160.79387310930483,0.033778607845306396,0.018834590911865234,0.07549303770065308,74.67046306478058,87.08245857710622
18,160.48595067084793,0.034572601318359375,0.018961787223815918,0.07613164186477661,74.44185631191652,86.77579990396923
19,160.4538466725921,0.03440827131271362,0.019206106662750244,0.07576858997344971,74.49203369617851,86.84029049084616
20,160.19959902497212,0.03485041856765747,0.019464194774627686,0.07572406530380249,74.33763684898393,86.69711720958138
21,168.74463689961422,0.009664356708526611,0.019950449466705322,0.04989737272262573,82.32922111545014,96.5355528142714
22,170.60312129341622,0.004180908203125,0.020151972770690918,0.04415708780288696,84.05260541567971,98.75565116991055
23,171.52910879850714,0.0015795230865478516,0.020140409469604492,0.041457533836364746,84.86727022389469,99.8001676765722
24,171.61728644040122,0.0013222098350524902,0.020150959491729736,0.041229426860809326,84.92147429892134,99.88386377456861
25,171.9378407090644,0.0007311701774597168,0.019839823246002197,0.04074293375015259,85.1232292798703,100.09854918978576
26,163.93947609933724,0.023865878582000732,0.0194818377494812,0.06410330533981323,77.85564132579702,90.93840262433433
27,161.9471384602419,0.030566513538360596,0.018609344959259033,0.07057803869247437,75.84074432043691,88.50838367285279
28,161.44712170735858,0.03348463773727417,0.01733076572418213,0.07407057285308838,74.79311375062089,87.56242548749641
29,166.88596633405965,0.018343746662139893,0.016853034496307373,0.059846341609954834,79.34349823720663,93.51404234135728
30,163.35691960354745,0.028751790523529053,0.01671820878982544,0.07201021909713745,76.06983919289998,89.50520322986742
31,161.32167780850318,0.03497892618179321,0.01650017499923706,0.07966667413711548,74.29493903236394,87.2847767315827
32,160.8949897933475,0.03707784414291382,0.01582813262939453,0.08333766460418701,73.7452723483147,86.63535283172678
33,161.04181069584453,0.037511467933654785,0.015103816986083984,0.08531999588012695,73.6802701062702,86.67467131162454
34,161.60123919193765,0.0367356538772583,0.014364123344421387,0.08582347631454468,73.90201387589892,87.064961693882
35,161.96204468176404,0.03605586290359497,0.01404029130935669,0.08554255962371826,74.1164011026608,87.42654869484078
36,162.11501208350865,0.035482168197631836,0.014172494411468506,0.08510303497314453,74.32430380204207,87.67577881027765
37,162.0553658388172,0.03508037328720093,0.014777660369873047,0.08474677801132202,74.33321193809283,87.75773582029494
38,162.26458805998243,0.03463149070739746,0.01468271017074585,0.08455884456634521,74.37906008009455,87.8899775633121
39,162.42110691132967,0.034413039684295654,0.014443635940551758,0.08455061912536621,74.39702969762821,87.93504140088811
40,162.6595196009419,0.0340198278427124,0.014130711555480957,0.08441603183746338,74.45637265041249,88.04940367795751
41,162.69453244528705,0.03398507833480835,0.014008402824401855,0.08430421352386475,74.41931279380655,88.04235130108421
42,162.8201335046921,0.03401464223861694,0.013640344142913818,0.08407872915267944,74.3486765169639,88.01808776636067
43,162.8337414717189,0.03416860103607178,0.013512670993804932,0.08417177200317383,74.29058361117427,87.95761616836265
44,162.88672108623624,0.034508347511291504,0.013131856918334961,0.08462882041931152,74.07120090774424,87.81086797732482
45,162.8124700548154,0.03507494926452637,0.012864828109741211,0.08531010150909424,73.86838810413487,87.58633489270638
46,162.80944237541013,0.03539615869522095,0.012684881687164307,0.08550536632537842,73.70891779699868,87.36593343221233
47,162.81508231332015,0.035672783851623535,0.012485027313232422,0.0857955813407898,73.62505614309003,87.20976154602195
48,162.92872619021833,0.03586310148239136,0.012075483798980713,0.08612525463104248,73.47344159314184,87.06540692754697
49,163.06587526249623,0.0357857346534729,0.011812031269073486,0.08601105213165283,73.46653177850038,87.0271384581408
50,163.2811546378922,0.03577232360839844,0.011287391185760498,0.08585387468338013,73.44053118994661,86.98997526701378
51,163.38310205559358,0.03590422868728638,0.010921001434326172,0.08570963144302368,73.37548907464021,86.83158410397161
52,163.40425291127724,0.036110103130340576,0.010693013668060303,0.08559972047805786,73.31572213864392,86.71714661141196
53,163.41288404451038,0.03606945276260376,0.010715305805206299,0.08511322736740112,73.36000841798725,86.70583401009712
54,163.36257938955205,0.03608906269073486,0.010742664337158203,0.08473044633865356,73.625101133818,86.80062126177368
55,162.81324747718958,0.03620225191116333,0.01206141710281372,0.08455371856689453,73.88204474010519,86.76401190455884
56,162.1083915585616,0.03656578063964844,0.01355069875717163,0.08433127403259277,73.98686830117016,86.65568699554566
57,162.10675868913455,0.03654390573501587,0.013502061367034912,0.08419257402420044,74.11124025768522,86.63277555458235
58,169.49743763779108,0.014915704727172852,0.013457894325256348,0.0625457763671875,80.8140859795766,94.89458462934797
59,167.52378320163302,0.02050405740737915,0.013539373874664307,0.06802743673324585,79.03236491250779,92.65643924548935
60,171.07298766715698,0.010281980037689209,0.013535261154174805,0.0578458309173584,82.09482140406475,96.61173333453893
61,171.6940997295603,0.007814943790435791,0.01416778564453125,0.055457234382629395,82.79946269755492,97.5323274049389
62,172.29842471480836,0.006654798984527588,0.013721644878387451,0.054722487926483154,83.11248308440135,97.88257686079373
63,172.4857941377245,0.006254851818084717,0.01359337568283081,0.0543133020401001,83.18935250681234,97.97356241923137
64,172.57151285206263,0.006245136260986328,0.013377785682678223,0.054353535175323486,83.1440840358426,97.9383595113279
65,172.81958366772187,0.006049931049346924,0.012967348098754883,0.05452382564544678,83.12756147980129,97.922846648789
66,173.133158247289,0.005908846855163574,0.012311339378356934,0.054900407791137695,83.17157448829614,97.89367532919015
67,173.43216867737593,0.00549924373626709,0.011920273303985596,0.054633498191833496,83.32839927457304,98.0190540829884
68,166.1353508252777,0.02650231122970581,0.011738598346710205,0.07590144872665405,76.81928531254331,89.73899341423497
69,164.5530640735297,0.031963050365448,0.01106727123260498,0.0817689299583435,75.23989108984107,87.75221089494747
70,170.55087854994986,0.015278756618499756,0.010450422763824463,0.0651390552520752,80.53603327401572,94.34000812699358
71,173.04453595355795,0.008870303630828857,0.009688496589660645,0.05889546871185303,82.62060923623416,96.99811228564083
72,167.40113733409518,0.025601208209991455,0.009318768978118896,0.07537555694580078,77.49564737629433,90.60306453676975
73,166.19186936464402,0.029137849807739258,0.009327292442321777,0.07863253355026245,76.43709316789406,89.37832625276067
74,164.54617108945806,0.03412580490112305,0.00922858715057373,0.08360153436660767,74.9105753184151,87.51591878859304
75,163.7688324957852,0.036455631256103516,0.009221374988555908,0.08594447374343872,74.1848595473965,86.63463657723433
76,171.06368492538667,0.014873862266540527,0.009351491928100586,0.06432336568832397,80.92634731196955,94.87559146528804
77,173.05391878139582,0.009131133556365967,0.009356319904327393,0.058463096618652344,82.75357737625308,97.1632445241441
78,166.52332953728566,0.028819143772125244,0.008855938911437988,0.07855826616287231,76.67343205507474,89.50830826648682
79,170.26528111253185,0.018114030361175537,0.008624553680419922,0.06799280643463135,79.92220134908342,93.53043806231352
80,172.1358829999871,0.012947559356689453,0.008415818214416504,0.0628923773765564,81.56042581894438,95.53865369493516
81,172.6586904637322,0.011319756507873535,0.008534252643585205,0.061341285705566406,82.084901111803,96.1736387622561
82,174.67080284244724,0.006763577461242676,0.007397055625915527,0.05678379535675049,83.87748096167486,98.2341432107628
83,169.40156839523678,0.021327197551727295,0.007826149463653564,0.07176494598388672,79.08049211643582,92.41687124433625
84,172.18973493575376,0.013218343257904053,0.007816195487976074,0.06370878219604492,81.94529621177668,95.91772230275105
