frame,body_angle,hip_shoulder_vertical_diff,hip_ankle_vertical_diff,head_position_ratio,shoulder_elbow_angle,wrist_shoulder_hip_angle
0,130.96450102428804,-0.09918725490570068,0.02266073226928711,0.049041926860809326,133.9648903724882,163.30768757152583
1,136.09517099005612,-0.10439270734786987,0.026084482669830322,0.04294466972351074,128.77531563354842,158.24702788890193
2,136.1561603305073,-0.10707235336303711,0.02558964490890503,0.03974103927612305,128.18192792497618,157.48705128056136
3,136.32408681168545,-0.10844892263412476,0.025564730167388916,0.037477076053619385,127.82145168390961,157.1024500859844
4,136.62526201725893,-0.10842269659042358,0.025953233242034912,0.035480797290802,127.74389417761427,156.99654494650622
5,136.9309829331647,-0.1077803373336792,0.02649790048599243,0.035875558853149414,127.68981149229843,156.8543768319463
6,137.17907935029643,-0.10765737295150757,0.02650606632232666,0.036606013774871826,127.12022256882693,156.30297288530423
7,137.3372952582964,-0.10799556970596313,0.027502596378326416,0.03724181652069092,127.29594305986296,156.54214462303045
8,137.62530490439482,-0.10809659957885742,0.02820277214050293,0.03827005624771118,127.23254646892704,156.46197886750744
9,137.66693038296071,-0.1078292727470398,0.0283510684967041,0.03490567207336426,127.29407605813186,156.44400651568807
10,137.93204389910684,-0.10761821269989014,0.029029250144958496,0.03525197505950928,127.29902910110643,156.42421072929156
11,137.9400546798933,-0.10752230882644653,0.02897268533706665,0.03479796648025513,127.26602389612164,156.41665191194343
12,138.0144727059919,-0.10773903131484985,0.029216468334197998,0.03432416915893555,127.31536098314547,156.52274803499486
13,138.0911135056783,-0.10820186138153076,0.029288411140441895,0.03415721654891968,127.14311073316244,156.43463432290136
14,137.98284382040742,-0.10831403732299805,0.029133856296539307,0.03861856460571289,127.19485734936652,156.52703476655356
15,138.05528571951407,-0.10864943265914917,0.029088199138641357,0.04255414009094238,126.94144935933807,156.3493143574015
16,138.47818305234927,-0.1091393232345581,0.029170691967010498,0.04179024696350098,126.15339463899616,155.66155567970114
17,137.25189864318347,-0.1106187105178833,0.02921074628829956,0.042340219020843506,125.29293029684331,155.2604250797764
18,137.4544173509477,-0.11123192310333252,0.02917313575744629,0.04586434364318848,124.99568090512166,155.05287797889932
19,137.9523776394155,-0.1116819977760315,0.029175162315368652,0.046563148498535156,124.78485635190339,154.97847874623213
20,138.40325685441928,-0.11194628477096558,0.02922523021697998,0.04666620492935181,124.465047443793,154.6527650872087
21,138.4596527203125,-0.1125342845916748,0.029211819171905518,0.04570132493972778,124.25882015547077,154.50628310263602
22,138.63066237113605,-0.11270737648010254,0.02920377254486084,0.04667782783508301,124.15103303882204,154.47631042211404
23,138.70694247835993,-0.11301684379577637,0.029199719429016113,0.04675966501235962,124.09383294991764,154.51033648543157
24,138.6558784620398,-0.11303019523620605,0.029197752475738525,0.046674132347106934,124.27966771837347,154.7367792725094
25,138.64148549233718,-0.11336767673492432,0.02912038564682007,0.04632502794265747,124.26217428784427,154.88997492753975
26,138.51751392656388,-0.11370354890823364,0.028854012489318848,0.04619300365447998,124.2859293523587,155.05097973435014
27,138.36414234239004,-0.11413824558258057,0.02832615375518799,0.04560273885726929,124.24811671386658,155.12342511879893
28,138.04003206341335,-0.11394745111465454,0.027573585510253906,0.04553568363189697,124.2401231376078,155.11463114238035
29,136.9088508798839,-0.11448222398757935,0.02752518653869629,0.03566610813140869,126.21293245565349,157.1211154373408
30,136.35586019775442,-0.11464482545852661,0.02737957239151001,0.030241072177886963,127.00855460544517,157.88739869632366
31,135.91369826799055,-0.11486518383026123,0.0274580717086792,0.03125244379043579,127.80110232613232,158.6771749653297
32,135.80238679171757,-0.11507284641265869,0.02729564905166626,0.032202959060668945,127.79127121984682,158.66604479539427
33,135.80551988000792,-0.11534148454666138,0.027290642261505127,0.03408646583557129,127.59153520997323,158.58994900868947
34,137.21477459354588,-0.11524081230163574,0.02803027629852295,0.03709590435028076,125.71932849138857,156.76910076055935
35,137.94437393870538,-0.11258286237716675,0.02853912115097046,0.039837539196014404,125.64985552099537,156.2037934870612
36,138.3759771018492,-0.11028403043746948,0.02849477529525757,0.037376999855041504,125.55114702861269,155.7523063333803
37,139.51319682294638,-0.1099664568901062,0.028574347496032715,0.03890037536621094,123.67020342520513,153.86022853311124
38,138.63273871918673,-0.10905534029006958,0.02914637327194214,0.04045224189758301,124.17102661205256,154.37077282879335
39,138.96832440602122,-0.1082579493522644,0.029620468616485596,0.04155844449996948,123.99414653082822,154.27912412376472
40,140.82136679876047,-0.10752087831497192,0.029478609561920166,0.04219400882720947,122.80869926340189,152.95829030554017
41,140.8788033210984,-0.10780149698257446,0.028405964374542236,0.04259288311004639,122.8495455124952,152.87467793911145
42,139.98676820019008,-0.10734397172927856,0.028649866580963135,0.042863667011260986,123.63978603725388,153.6403306948503
43,140.3292183298909,-0.10761141777038574,0.0287778377532959,0.04286712408065796,123.46838597806507,153.4856931048867
44,140.42745136207165,-0.1078450083732605,0.028951048851013184,0.044728755950927734,123.4710216154638,153.4978401445121
45,139.6920191739409,-0.10685425996780396,0.030330419540405273,0.04699605703353882,124.18974123916855,154.26372243932943
46,139.90827608186723,-0.10685604810714722,0.030090272426605225,0.047509610652923584,123.9136212298613,153.97110436870355
47,140.63807712464885,-0.10658317804336548,0.030100464820861816,0.04841780662536621,123.41922212842427,153.4621672798863
48,136.52035652971904,-0.10530567169189453,0.029788196086883545,0.04973059892654419,131.11576296750985,160.9546597428419
49,135.87529671386022,-0.10341799259185791,0.029393434524536133,0.051612913608551025,132.6583284265848,162.21279110560573
50,137.62231463519151,-0.10347312688827515,0.029142558574676514,0.051548779010772705,129.67533089513586,159.24769710500573
51,137.19408898445963,-0.10190463066101074,0.029031336307525635,0.0529666543006897,131.0404386965457,160.21733094440293
52,137.2793719521194,-0.10132402181625366,0.028901636600494385,0.05355769395828247,131.44978357657493,160.4801343503675
53,137.84146198634502,-0.09940022230148315,0.028964638710021973,0.04998898506164551,131.03732276403548,159.7851709759768
54,141.4029758761381,-0.10045838356018066,0.02878504991531372,0.04915952682495117,124.48580155308358,153.41974942053912
55,142.06848752308414,-0.10080981254577637,0.028868794441223145,0.047512590885162354,123.23154366042255,152.17487584678082
56,140.2222928726487,-0.0984640121459961,0.02871382236480713,0.048277974128723145,126.90125676655089,155.47331440549584
57,141.24489561371277,-0.09991121292114258,0.02889925241470337,0.04686450958251953,124.94662465991921,153.71822405367087
58,139.23773574349627,-0.09928971529006958,0.028977036476135254,0.04612302780151367,128.58975756571695,157.30065979754264
59,138.24445060020298,-0.09941136837005615,0.02910172939300537,0.05027663707733154,130.4576280161236,159.21102734694946
60,137.7555932850915,-0.09951823949813843,0.029113173484802246,0.05161786079406738,131.43826014780743,160.19626213146788
61,137.46417797056247,-0.10015636682510376,0.029212355613708496,0.054440081119537354,131.92401227384696,160.81307571770643
62,137.56409354082788,-0.09999632835388184,0.02916538715362549,0.05264395475387573,131.78167142130803,160.6759293128405
63,137.42266689306516,-0.10008257627487183,0.028885483741760254,0.05067485570907593,131.77825798108458,160.68658265664848
64,137.42203639224093,-0.09996777772903442,0.02870011329650879,0.04544311761856079,131.69509357036247,160.65445171762417
65,137.35555028316142,-0.09985983371734619,0.028448283672332764,0.042325615882873535,131.62374060079424,160.61615260264003
66,137.0711520821477,-0.09991121292114258,0.027735531330108643,0.04202067852020264,131.59837675482967,160.48559147056963
67,137.00962237080898,-0.09971398115158081,0.027252495288848877,0.04182857275009155,131.48702413216472,160.29116640929317
68,136.93680214777072,-0.09949123859405518,0.026962459087371826,0.0470961332321167,131.48330882685667,160.21837925454886
69,136.87579251307358,-0.0995103120803833,0.0269739031791687,0.04642146825790405,131.61544859542983,160.36285107935174
70,136.80777632983322,-0.09946215152740479,0.026690304279327393,0.04566735029220581,131.56388170404153,160.27108578885768
71,136.7244861881187,-0.0994223952293396,0.02662801742553711,0.04613626003265381,131.6045493311843,160.33913542236837
72,134.5650106006727,-0.09923797845840454,0.025561630725860596,0.051821768283843994,132.88420510957613,161.7007690564704
73,134.25747285564464,-0.09924662113189697,0.02475583553314209,0.05298972129821777,132.8236862729176,161.65380518446347
74,134.07002086512242,-0.09920233488082886,0.02414339780807495,0.05286973714828491,132.71557225816633,161.5628516894559
75,134.53321974300462,-0.09901762008666992,0.024160146713256836,0.05317378044128418,132.33829498184627,161.10937334595675
76,134.8233916324121,-0.09903144836425781,0.02428823709487915,0.05339169502258301,132.14217334527987,160.88344072505626
77,135.09679625995136,-0.09915822744369507,0.02467864751815796,0.053470075130462646,132.03616476850738,160.76519974685027
78,135.26949486402603,-0.09911280870437622,0.025072455406188965,0.05338805913925171,131.98982751211386,160.70725421972168
79,135.41192314883554,-0.0991700291633606,0.02537292242050171,0.05272632837295532,131.9451918058788,160.68931320641917
80,139.38000670870258,-0.10115629434585571,0.025759458541870117,0.04995107650756836,125.00828871404075,154.1873889940777
81,138.21150102639692,-0.10055416822433472,0.025479435920715332,0.0497550368309021,126.92831025336704,155.99451631927752
82,135.3888852798729,-0.09968018531799316,0.024719178676605225,0.04940187931060791,129.6969762905902,158.70649699752704
83,136.5271480673535,-0.10070675611495972,0.02502620220184326,0.046877384185791016,127.7237443347455,156.92733185454958
84,137.07468593094288,-0.10116368532180786,0.025406837463378906,0.04549318552017212,126.778329096868,156.05015690765975
85,137.66884408039058,-0.101321280002594,0.02655470371246338,0.04470384120941162,126.45371442626688,155.74288584919717
86,137.69704225956167,-0.1013803482055664,0.026758909225463867,0.04414725303649902,126.28424434381229,155.58194265818858
87,137.70737607598517,-0.10136348009109497,0.026889443397521973,0.042172908782958984,126.3796487438884,155.6935213670671
88,137.6076209070214,-0.10184299945831299,0.026966392993927002,0.0415264368057251,126.43707344448221,155.8366199898236
89,137.48343943895523,-0.10247147083282471,0.02722400426864624,0.040621161460876465,126.68145754744057,156.21401983900435
90,137.32483698480215,-0.10329008102416992,0.027401864528656006,0.03943067789077759,126.88571593211033,156.5796792269614
