model,accuracy,precision_weighted,recall_weighted,f1_weighted,train_time_sec,inference_time_sec
RandomForest (Bal),1.0,1.0,1.0,1.0,4.986870527267456,0.003004312515258789
LightGBM (Bal),1.0,1.0,1.0,1.0,1.5775861740112305,0.0019996166229248047
XGBoost (Bal),0.8888888888888888,0.9259259259259258,0.8888888888888888,0.8814814814814815,0.14974761009216309,0.0030002593994140625
GaussianNB (Bal),0.8333333333333334,0.8814814814814815,0.8333333333333334,0.8264870931537599,0.0010058879852294922,0.0
MLPClassifier (FCNN-Bal),0.5555555555555556,0.6592592592592593,0.5555555555555556,0.5753086419753086,0.011522054672241211,0.0
